id,text,user,user_followers,favorite_count,retweet_count,location,datetime
1534769486569811968,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",monmonbright83,54,0,234,,2022-06-09 05:28:54+00:00
1534769240699727872,@AusHCBrunei @CurtinUni @AusAmbGender @MoEducation_BRN @AusASEANEAS Great to see..I have always been impressed by t… https://t.co/K5qxk9XO2B,TheScienceNomad,640,1,0,Canberra,2022-06-09 05:27:56+00:00
1534768452002492416,"Hiru drama, GEM TV Asia
Southeast Asia debut
Country: Singapore, Philippines, Thailand, Cambodia, Indonesia, Malays… https://t.co/eGoexaWCl7",YuZu67106756,59,0,0,,2022-06-09 05:24:48+00:00
1534767485735809024,"RT @onlycametorant: @sxshaaa @bernardokath testified, cos I'm her avid fan from Brunei as well 🥰🥰🥰",Johmil5,63,0,4,,2022-06-09 05:20:57+00:00
1534766970666889216,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",beean31,29,0,234,jakarta,2022-06-09 05:18:55+00:00
1534766813539622912,"RT @MJclips_: Michael Jackson, Earth Song | Live in Royal Brunei 1996. https://t.co/ZbOKTuKN5C",DJangthanong,42,0,129,,2022-06-09 05:18:17+00:00
1534766669377114112,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",waterlove313,65,0,234,,2022-06-09 05:17:43+00:00
1534766559490904064,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",diamondwaen,19,0,234,Chiang mai,2022-06-09 05:17:17+00:00
1534766116698226689,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",brights_27,58,0,234,Myanmar,2022-06-09 05:15:31+00:00
1534765919083315200,"RT @UBDVTLab: Dayak roundleaf bats (Hipposideros dyacorum) in Tutong District, #Brunei. Video: Cara Webster. #Borneo #wildlife #bats https:…",PrancingPapio,4592,0,5,Turtle Island; Durham NC,2022-06-09 05:14:44+00:00
1534765772500877312,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",fonvc3087,179,0,234,,2022-06-09 05:14:09+00:00
1534764372500721664,"RT @DVB_English: US State Department Counselor Derek Chollet has urged ASEAN states to openly engage with the NUG, the Singapore based Stra…",Hydro_Carbon,283,0,11,Holy Terra,2022-06-09 05:08:35+00:00
1534764035652059141,"RT @DVB_English: US State Department Counselor Derek Chollet has urged ASEAN states to openly engage with the NUG, the Singapore based Stra…",Kim_Jolliffe,9535,0,11,Cyberspace,2022-06-09 05:07:15+00:00
1534763485523070976,"Want to see the latest #Brunei #news headlines?

All the latest Brunei news headlines and direct source links updat… https://t.co/JIQ3lcIrOz",AseanNewsToday,3399,0,0,Asean,2022-06-09 05:05:04+00:00
1534762547441766402,RT @PakinBrunei: Proud moment for Pakistanis in Brunei. Mrs Kausar Parveen was conferred with two medals for meritorious service and Long d…,aharis1234,80,0,11,"Punjab, Pakistan",2022-06-09 05:01:20+00:00
1534762338846330880,"RT @onlycametorant: @sxshaaa @bernardokath testified, cos I'm her avid fan from Brunei as well 🥰🥰🥰",lala_luh_luh,355,0,4,,2022-06-09 05:00:30+00:00
1534762216741691393,RT @sxshaaa: Even someone from Brunei knows her. No wonder Asia's superstar binansag kay @bernardokath 💫,lala_luh_luh,355,0,76,,2022-06-09 05:00:01+00:00
1534761732366688256,"The Digital Technology Week MYCE on 8th June 2022 (Day 1) at the International Convention Centre, Brunei
.
#td123… https://t.co/kvPD6mBNaY",td123bn,1808,1,0,Brunei,2022-06-09 04:58:06+00:00
1534760817870118913,Maroons spoil Blues homecoming to take series opener https://t.co/BP8KNDcUYI,Brunei_RL,62,0,0,Brunei,2022-06-09 04:54:28+00:00
1534760812363059200,NSW Police simply too good for fast finishing Queensland https://t.co/9Md68YUREm,Brunei_RL,62,0,0,Brunei,2022-06-09 04:54:26+00:00
1534760806373634048,Benji Marshall receives NZ OAM for services to Rugby League https://t.co/SVTF8tuCrA,Brunei_RL,62,1,1,Brunei,2022-06-09 04:54:25+00:00
1534759919420813312,"RT @BrightTrending: Worldwide Trends &amp; in Other Locations

Hashtag #คืนนับดาวEP3 

No.2 🌏 Worldwide 
No.1 Thailand 
No.1 Macao
No.2 Laos 
N…",ssouriantt,292,0,665,Neverland,2022-06-09 04:50:53+00:00
1534759665170382848,RT @sxshaaa: Even someone from Brunei knows her. No wonder Asia's superstar binansag kay @bernardokath 💫,madam_jackieeee,558,0,76,"Calamba City, Calabarzon",2022-06-09 04:49:53+00:00
1534759063342686209,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",MOEMOENYORI,166,0,234,,2022-06-09 04:47:29+00:00
1534758520012566528,"RT @BrightTrending: Worldwide Trends &amp; in Other Locations

Hashtag #คืนนับดาวEP3 

No.2 🌏 Worldwide 
No.1 Thailand 
No.1 Macao
No.2 Laos 
N…",porn1997pgt,82,0,665,,2022-06-09 04:45:20+00:00
1534758390194245632,Hiking to the field site in the interior of Tutong District. #Brunei. Photo: Amaro Tuninetti. #Borneo #nature. https://t.co/dvzly0qQMH,UBDVTLab,11029,4,3,Brunei & Virginia,2022-06-09 04:44:49+00:00
1534757853793091584,"Cara looking up at a patch of the evening sky over Tutong District, #Brunei. Photo: Amaro Tuninetti. https://t.co/xF8TGo7XgE",UBDVTLab,11029,3,2,Brunei & Virginia,2022-06-09 04:42:41+00:00
1534756755082686465,"Looking up into the rainforest canopy in Tutong  District, #Brunei. Photo: Amaro Tuninetti. #Borneo #nature https://t.co/OBI2nqbWkZ",UBDVTLab,11029,5,3,Brunei & Virginia,2022-06-09 04:38:19+00:00
1534755393116680192,"Dayak roundleaf bats (Hipposideros dyacorum) in Tutong District, #Brunei. Video: Cara Webster. #Borneo #wildlife… https://t.co/5XLkbeDiqx",UBDVTLab,11029,8,5,Brunei & Virginia,2022-06-09 04:32:54+00:00
1534754412547084288,RT @thescoop_co: Brunei's new cabinet: https://t.co/SyaZIgb0fJ,nab242,42,0,234,BWN,2022-06-09 04:29:00+00:00
1534754053959262208,"@brandconsultant @ulamwe Its relatively high. But completely logical because a) Malaysia has lots of smart english,… https://t.co/rAdQNWi6hp",YwanC,110,0,0,Far East,2022-06-09 04:27:35+00:00
1534753668326494208,"RT @BrightTrending: Worldwide Trends &amp; in Other Locations

Hashtag #คืนนับดาวEP3 

No.2 🌏 Worldwide 
No.1 Thailand 
No.1 Macao
No.2 Laos 
N…",WynnHtay,336,0,665,Thailand,2022-06-09 04:26:03+00:00
1534753375304024064,"RT @ChartsBright: Worldwide Trends &amp; in Other Locations

#คืนนับดาวEP3 

🌎2 Worldwide 

🇹🇭1 Thailand 
🇲🇴1 Macao
🇱🇦2 Laos 
🇧🇳6 Brunei 
🇲🇲7 M…",Sen68490366,2,0,182,,2022-06-09 04:24:53+00:00
1534753364923150336,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",AciSun_,58,0,234,,2022-06-09 04:24:51+00:00
1534752709630230529,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",ommieomm,186,0,234,,2022-06-09 04:22:14+00:00
1534752417803141120,"RT @BrightTrending: Worldwide Trends &amp; in Other Locations

Hashtag #คืนนับดาวEP3 

No.2 🌏 Worldwide 
No.1 Thailand 
No.1 Macao
No.2 Laos 
N…",Sen68490366,2,0,665,,2022-06-09 04:21:05+00:00
